date_received,product,sub_product,issue,sub_issue,consumer_complaint_narrative,company_public_response,company,state,zipcode,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed?,complaint_id
9/10/2013,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,,,Ditech Financial LLC,MN,55101,Older American,,Web,9/10/2013,Closed with explanation,Yes,Yes,520945
9/10/2013,Credit reporting,,Incorrect information on credit report,Reinserted previously deleted info,,,"Trident Asset Management, L.L.C.",MO,63701,,,Web,9/24/2013,Closed with non-monetary relief,Yes,No,521390
9/10/2013,Credit card,,APR or interest rate,,,,Amex,MI,48178,Servicemember,,Web,9/10/2013,Closed with monetary relief,Yes,Yes,521391
9/10/2013,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,92078,,,Web,9/10/2013,Closed with explanation,Yes,Yes,520944
9/10/2013,Credit reporting,,Incorrect information on credit report,Personal information,,,Experian,NJ,8742,,,Web,9/11/2013,Closed with non-monetary relief,Yes,No,521387
9/24/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Citibank,CA,92223,Older American,,Web,9/26/2013,Closed with non-monetary relief,Yes,Yes,540374
9/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,VA,22485,,,Web,9/18/2013,Closed with explanation,Yes,No,531705
9/17/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Bank of America,IL,60561,Older American,,Web,9/18/2013,Closed with explanation,Yes,No,530663
9/17/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Schachter Portnoy, L.L.C.",NJ,7086,,,Web,9/18/2013,Closed with explanation,Yes,No,530664
9/10/2013,Credit reporting,,Credit monitoring or identity protection,Problem with fraud alerts,,,Equifax,MD,21061,,,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521392
9/10/2013,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,,Tormey Bewley Corporation,CO,80126,,,Web,10/10/2013,Closed with non-monetary relief,Yes,No,521394
9/10/2013,Mortgage,Home equity loan or line of credit,"Application, originator, mortgage broker",,,,Bank of America,CA,90605,,,Web,9/10/2013,Closed with explanation,Yes,No,521395
8/30/2013,Bank account or service,Checking account,"Account opening, closing, or management",,,,JPMorgan Chase & Co.,DC,20012,,,Web,9/4/2013,Closed with explanation,Yes,No,511146
8/30/2013,Student loan,Non-federal student loan,Problems when you are unable to pay,Problems when you are unable to pay,,,"Navient Solutions, Inc.",KY,40207,,,Web,9/4/2013,Closed with explanation,Yes,Yes,511150
8/30/2013,Debt collection,I do not know,Communication tactics,Frequent or repeated calls,,,"North American Asset Services, LLC",CA,92002,,,Phone,9/3/2013,Closed with explanation,Yes,No,511071
9/24/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Bank of America,KY,40059,,,Web,9/25/2013,Closed with explanation,Yes,Yes,540406
9/24/2013,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,,,"Expert Global Solutions, Inc.",TX,78240,,,Web,9/24/2013,Closed with explanation,Yes,No,540407
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Flagstar Bank,KS,66846,,,Postal mail,9/18/2013,Closed with explanation,Yes,No,530667
9/17/2013,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,,M&T Bank Corporation,VA,23453,,,Web,9/18/2013,Closed with explanation,Yes,No,530671
9/10/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,Loan Care,NY,11235,,,Web,9/10/2013,Closed with explanation,Yes,No,521396
9/10/2013,Credit card,,Balance transfer,,,,JPMorgan Chase & Co.,NY,11967,,,Web,9/14/2013,Closed with explanation,Yes,No,521310
9/10/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,Commercial Recovery Systems,TX,76155,,,Web,9/30/2013,Closed,No,No,521397
9/10/2013,Student loan,Non-federal student loan,Repaying your loan,Repaying your loan,,,"Navient Solutions, Inc.",WA,99208,,,Web,9/10/2013,Closed with non-monetary relief,Yes,No,521400
9/10/2013,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,,,Equifax,CA,94108,,,Web,9/10/2013,Closed with non-monetary relief,Yes,No,521401
9/17/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,DC,20018,,,Web,9/18/2013,Closed with explanation,Yes,No,530677
9/10/2013,Bank account or service,Savings account,Deposits and withdrawals,,,,Citibank,CA,90651,,,Web,9/10/2013,Closed with monetary relief,Yes,No,521404
9/10/2013,Credit reporting,,Unable to get credit report/credit score,Problem getting report or credit score,,,Experian,FL,32811,,,Web,9/14/2013,Closed with non-monetary relief,Yes,No,521231
9/10/2013,Debt collection,Federal student loan,Improper contact or sharing of info,Contacted employer after asked not to,,,ConServe,CA,91403,,,Web,9/14/2013,Closed with explanation,Yes,No,521406
9/10/2013,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,Nationstar Mortgage,CA,94605,,,Web,9/10/2013,Closed with explanation,Yes,No,521407
9/10/2013,Money transfers,International money transfer,Wrong amount charged or received,,,,Capital One,NY,11206,,,Web,9/10/2013,Closed with monetary relief,Yes,No,521409
9/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,Nationstar Mortgage,CA,91324,,,Web,9/10/2013,Closed with explanation,Yes,No,521410
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Astoria Bank,CA,92009,,,Postal mail,9/18/2013,Closed with explanation,Yes,No,530678
9/24/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ocwen,NJ,7307,,,Fax,9/25/2013,Closed with explanation,Yes,No,540608
9/17/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,Wells Fargo & Company,MA,2151,,,Postal mail,9/18/2013,Closed with explanation,Yes,No,531743
9/17/2013,Credit card,,Rewards,,,,Citibank,NJ,7078,,,Phone,9/18/2013,Closed with explanation,Yes,No,530684
9/24/2013,Debt collection,Non-federal student loan,False statements or representation,Attempted to collect wrong amount,,,Loan To Learn,OR,97136,,,Web,9/24/2013,Closed with explanation,Yes,No,540425
8/30/2013,Mortgage,Other mortgage,Credit decision / Underwriting,,,,U.S. Bancorp,MN,55431,,,Postal mail,9/3/2013,Closed with explanation,Yes,No,511154
8/30/2013,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,"Cavalry Investments, LLC",IL,60139,,,Web,8/30/2013,Closed with explanation,Yes,No,511155
9/10/2013,Credit reporting,,Incorrect information on credit report,Account status,,,Toyota Motor Credit Corporation,NH,3079,,,Web,9/10/2013,Closed with non-monetary relief,Yes,No,521411
